Model name,model_parameters_billion,training_tokens_billion,num_gpus,training_hours,hardware_power_draw_watts_per_gpu,carbon_intensity_gco2_per_kwh,total_energy_kwh,total_carbon_footprint_kgco2e
GPT-3,175,300,10000,355.2,300,429,1287000,552000
GPT-4,1800,13000,10000,2160,700,322,16099378,5184000
PaLM,540,780,6144,1200,418,430,3436000,271400
BLOOM,176,350,384,2820,400,57,433196,24700
DeepSeek-V3,671,14800,2048,1361,350,560,1123598,629215
Llama 3.1,405,15600,16000,1928,700,359,24841800,8930000
Claude 3 Opus,2000,40000,Not disclosed,Not disclosed,700,322,Not disclosed,Not disclosed
Claude 3 Sonnet,70,Not disclosed,Not disclosed,Not disclosed,700,322,Not disclosed,Not disclosed
Claude 3 Haiku,20,Not disclosed,Not disclosed,Not disclosed,700,322,Not disclosed,Not disclosed
Gemini 1.0 Ultra,550,Not disclosed,80000,Not disclosed,170,430,Not disclosed,Not disclosed
Gemini 1.5 Pro,Not disclosed,Not disclosed,Not disclosed,Not disclosed,170,430,Not disclosed,Not disclosed
T5,11,500,512,480,450,545,123900,46700
GShard,619,1000,1000,74.4,450,177,36403,4300
Switch,1500,2000,1000,648,450,330,320760,59100
XLM,0.55,7000,512,489.6,300,413,82637,39000
Chinchilla,70,1400,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
GLaM,1200,1600,Not specified,Not specified,Not specified,Not specified,429000,Not specified
Falcon 180B,180,3500,4096,1709,400,322,3222000,1870000
Mistral 7B,7.3,Not disclosed,500,Not specified,400,59,Not specified,Not specified
Mixtral 8x7B,47,Not specified,Not specified,Not specified,700,Not specified,Not specified,Not specified
Qwen 72B,72,3000,Not specified,Not specified,400,600,Not specified,Not specified
Yi-34B,34,3000,128,240,400,600,15360,Not specified
Grok 3,2700,12800,200000,1000,700,322,154000000,49588000
Gopher,280,300,4480,Not specified,400,Not specified,1066000,352000
OPT-175B,175,180,Not specified,Not specified,Not specified,Not specified,324000,Not specified
Gemma 7B,7,Not disclosed,Not specified,Not specified,Not specified,430,Not specified,Not specified
Vicuna 7B,7,Not disclosed,Not specified,Not specified,Not specified,Not specified,Not specified,Not disclosed
